projectID,day,ID,COLI_NON_24,COLI_COLI_24,COLI_NON_48,COLI_COLI_48,EB_NON_24,EB_COLI_24,EB_NON_48,EB_COLI_48,CVTA
464,17,11,,,,,,,,,-
464,17,12,,,,,,,,,-
464,17,13,++,,++,,++,,++,,+
464,17,14,,,,,,,,,+
464,17,12_1,,,,,,,,,+
464,17,13_1,,,,,,,,,-
464,17,21,,,++,,,,++,,+
464,17,22,,,,,,,,,+
464,17,24,++,,++,++,++,,++,++,+
464,17,31,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,33,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,34,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,51,,,,,,,,,-
464,17,61,++,,++,,++,,++,++,+
464,17,61_1,,,,,,,,,+
464,17,25,,,++,,,,++,,+
464,17,21_1,,,,,,,,,-
464,17,21_2,,,++,,,,++,,+
464,17,22_1,,,++,,,,++,,+
464,17,24_1,++,++,++,++,++,++,++,++,+
464,17,32_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32_2,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32_3,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32_4,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32_5,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,32_6,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,33_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,33_2,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,33_3,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,33_4,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,34_1,NT,NT,NT,NT,NT,NT,NT,NT,NT
464,17,35,NT,NT,NT,NT,NT,NT,NT,NT,NT